Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2018-01-25,190.14,192.93,190.0,191.87,2599831.0,0.0,1.0,190.14,192.93,190.0,191.87,2599831.0
2018-01-24,189.47,190.94,189.47,190.14,2461809.0,0.0,1.0,189.47,190.94,189.47,190.14,2461809.0
2018-01-23,189.0,189.635,188.12,189.31,1966012.0,0.0,1.0,189.0,189.635,188.12,189.31,1966012.0
2018-01-22,188.4,189.61,188.0,189.34,2505745.0,0.0,1.0,188.4,189.61,188.0,189.34,2505745.0
2018-01-19,186.03,187.95,185.355,187.8,3409665.0,0.0,1.0,186.03,187.95,185.355,187.8,3409665.0
2018-01-18,184.88,186.41,184.88,185.49,2167408.0,0.0,1.0,184.88,186.41,184.88,185.49,2167408.0
2018-01-17,185.17,185.66,184.135,185.1,1771064.0,0.0,1.0,185.17,185.66,184.135,185.1,1771064.0
2018-01-16,184.44,185.39,184.17,184.64,2316425.0,0.0,1.0,184.44,185.39,184.17,184.64,2316425.0
2018-01-12,184.3,185.17,183.71,184.2,2413635.0,0.0,1.0,184.3,185.17,183.71,184.2,2413635.0
2018-01-11,183.43,184.36,183.34,184.21,3589068.0,0.0,1.0,183.43,184.36,183.34,184.21,3589068.0
2018-01-10,182.31,184.01,182.2,183.48,4145923.0,0.0,1.0,182.31,184.01,182.2,183.48,4145923.0
2018-01-09,184.58,185.529,182.0,183.6,3749120.0,0.0,1.0,184.58,185.529,182.0,183.6,3749120.0
2018-01-08,185.47,186.36,184.65,184.65,2040902.0,0.0,1.0,185.47,186.36,184.65,184.65,2040902.0
2018-01-05,183.7,186.0,183.5,185.81,4466209.0,0.0,1.0,183.7,186.0,183.5,185.81,4466209.0
2018-01-04,181.87,184.39,181.84,183.37,3314323.0,0.0,1.0,181.87,184.39,181.84,183.37,3314323.0
2018-01-03,180.75,181.96,180.1,181.8,2331904.0,0.0,1.0,180.75,181.96,180.1,181.8,2331904.0
2018-01-02,180.94,181.96,180.06,180.69,2541951.0,0.0,1.0,180.94,181.96,180.06,180.69,2541951.0
